start_ts,end_ts,src_ip,dst_ip,src_port,dst_port,protocol,tos,tcp_flags,packet_count,bytes,router_in_port,router_out_port
1361951965.844,1361951983.860,41.43.198.191,181.94.129.0,39047,9100,17,0,16,4,336,49,29
1361951968.348,1361951983.348,216.84.74.70,181.206.160.242,60761,443,6,0,2,5,300,50,29
1361951974.072,1361951983.088,7.35.87.8,61.168.202.28,62196,443,6,0,2,3,152,50,29
1361951974.412,1361951983.424,7.35.232.31,61.168.202.28,53840,443,6,0,2,3,152,50,29
1361951974.452,1361951983.448,41.43.153.17,70.201.79.110,50287,9100,6,0,2,3,152,50,29
1361951974.672,1361951983.684,7.35.87.238,61.168.202.28,52102,443,6,0,2,3,152,49,29
1361951974.832,1361951983.852,7.35.85.48,61.168.202.28,61696,443,6,0,2,3,152,49,29
1361951974.836,1361951983.848,7.35.233.36,61.168.202.28,59766,443,6,0,2,3,152,50,29
1361951982.476,1361951983.480,41.43.212.120,180.217.230.2,41421,27031,6,0,2,2,128,49,29
1361951983.020,1361951983.020,7.35.156.249,70.201.79.105,56610,5353,17,0,16,1,99,49,29
1361951983.096,1361951983.096,7.35.157.37,70.201.27.126,237,427,17,0,16,1,72,50,29
1361951983.180,1361951983.180,7.35.217.22,181.94.129.225,17500,17500,17,0,16,1,161,50,29
1361951984.860,1361951984.860,248.207.38.29,179.180.218.243,0,0,17,0,0,1,107,50,78
1361951984.872,1361951984.872,7.35.13.19,7.35.167.139,0,0,103,0,16,1,48,50,0
1361951984.928,1361951984.928,7.35.13.24,152.128.6.5,0,148,2,192,16,1,32,50,0
1361951984.940,1361951984.940,41.43.209.230,238.137.181.64,51816,3544,17,0,16,1,89,50,78
1361951971.104,1361951984.756,185.31.59.209,152.128.6.13,0,0,103,192,16,2,128,76,0
1361951975.208,1361951984.208,7.35.249.188,70.201.27.2,60886,44818,6,0,2,3,152,50,29
1361951975.636,1361951984.656,7.35.217.131,181.92.250.129,56464,443,6,0,2,3,152,50,29
1361951975.704,1361951984.720,7.35.232.121,61.168.202.28,53007,443,6,0,2,3,152,50,29
1361951975.848,1361951984.856,72.39.49.85,181.11.166.112,53227,139,6,0,2,3,152,50,29
